id,category,gender,baseColour,season,usage,noisyTextDescription
51668,Sandal,Men,Tan,Summer,Casual,Clarks Men ComfortSoft Wild Sweat Sandals
40012,Bottomwear,Men,Blue,Summer,Casual,John Players Flora Blue Jeans
56877,Bottomwear,Women,White,Summer,Casual,Scullers For Mud Women White Trousers
42598,Shoes,Men,Black,Summer,Sports,Puma Salvation Silly Enigma Black Sports Deerie
34629,Topwear,Women,Beige,Summer,Casual,Arrow Woman Beige Top
51779,Bottomwear,Girls,Blue,Summer,Casual,Gini and Jony Girls Happy Style Blue Leggings
38487,Innerwear,Women,Pink,Fall,Casual,Enamor Women Weave Pink Bra
8709,Shoes,Men,Black,Summer,Formal,Numero Uno Men Backpack Formal Shoes
24738,Topwear,Women,Green,Summer,Casual,Jealous 21 Women Printed Green 140
45303,Loungewear and Nightwear,Women,Pink,Winter,Casual,Red Rose Women Bike Nightdress
25189,Watches,Unisex,Blue,Winter,Casual,Q&Q Kids Unisex Blue Dial Analog Watch
52827,Topwear,Men,Blue,Summer,Casual,Status Quo Men's Blue Polo T-shirt
13703,Topwear,Men,Red,Summer,Casual,Moss Men's Rider Red T-shirt
22763,Topwear,Men,Red,Summer,Casual,Q&Q Kids 1306 Georgina Dial Analog Watch
37331,Topwear,Boys,Green,Summer,Casual,There Cavalli Women White Watch
52923,Fragrance,Men,Brown,Spring,Casual,Park level Men Padded Deo
4726,Sandal,Men,Grey,Summer,Casual,Arrow Langworth Grey Sandals
22588,Topwear,Men,Blue,Fall,Formal,Mark Taylor Mix Blue & M040-002 Brown Striped Shirt
32414,Topwear,Men,Yellow,Summer,Casual,Myntra P186BR1F Hard work never killed anyone Scarf
46659,Eyewear,Women,Grey,Winter,Casual,Focus Women Sunglasses
42144,Lips,Women,Magenta,Summer,Casual,Lily Rasmopolitan Cryptic Oh My Magenta 1 Lipstick 85V
42003,Shoes,Men,Black,Spring,Formal,Clarks Men Leather Black H2H-4-201 Top
14917,Topwear,Men,White,Summer,Casual,French Running Cardiac WinterSweater AS234-C1 T-shirt
9248,Watches,Women,Steel,Winter,Casual,AS201-C2 Women Steel-Toned & Stone-Studded Dial 83C002-002 Aztek
20588,Bags,Women,Brown,Summer,Casual,Pitaraa Women Brown Clutch
58793,Bags,Women,Brown,Summer,Casual,United Cade of Crane Women Fw Wanigan Brown Patch
45285,Shoes,Men,Black,Fall,Casual,F Alfa Men Blast Shoes
7867,Saree,Women,Blue,Fall,Ethnic,FNF Purple Dialect Evening Wear Sari
27834,Wallets,Women,Black,Winter,Casual,Ferrari Women Square Taj Black Under
36415,Topwear,Women,Pink,Summer,Ethnic,Span NY8322 Pink Kurta
4162,Topwear,Women,Purple,Fall,Casual,Jealous 21 Twist Uaine Purple Tops
21703,Topwear,Women,Black,Summer,Casual,Femella Women Tan Shaped Shirt
20372,Bottomwear,Women,Purple,Summer,Ethnic,Shree Women Purple & Magenta Jodhpuri Salwar
23873,Scarves,Women,Grey,Summer,Casual,Femella Women Enhancer Grey Scarf
55296,Shoes,Men,Orange,Summer,Sports,LunarFly Men Berra Mercurial VH217-C2 Sports Shoes
47406,Topwear,Men,White,Fall,Casual,Puma Men Athletic White Sandals Tshirt
19257,Topwear,Men,Black,Summer,Sports,United Colors Date Benetton Women Short Grey Tops
24549,Topwear,Men,Yellow,Fall,Sports,Palm 461 Kids Girl Sp Jace M119J003Y Green Skirts
41832,Jewellery,Women,Silver,Summer,Casual,Lencia Silver and Cranberry Protein
12916,Shoes,Men,Grey,Summer,Sports,Nike Men Lunarswift +3 Grey Sports Shoes
47367,Shoes,Women,White,Summer,Sports,Q&Q Women Vomero-5 White MM Blue Shoe
41712,Topwear,Women,Black,Summer,Casual,Remanika Women Black Top
46203,Topwear,Men,Green,Summer,Casual,John Players Wove Green Ginghams Shirt
27864,Topwear,Men,White,Summer,Casual,Wrangler Quilted Summer Throwdown White T-shirt
58505,Eyewear,Men,Black,Winter,Casual,I Dee Men Black Frame Festa
47315,Shoes,Women,White,Winter,Casual,Palm Tree Kids Captoe Washed Mr.Men Jeans
42814,Topwear,Men,White,Fall,Casual,U.S. Polo Assn. Denim Co. Men mens White Shirt
29135,Dress,Women,White,Fall,Casual,Gini and Jony Kids trg Solid White Dresses
57199,Dress,Girls,Pink,Summer,Casual,Gini and Jony Mania Mousse Paradise directoire Dress
9140,Bottomwear,Men,Black,Summer,Sports,Trunks Riley 66 Mumbai Diving
12225,Bottomwear,Women,Navy Blue,Summer,Casual,Lee Women Dexterity CH2652 Jeggings
55289,Innerwear,Men,Black,Summer,Casual,058 Men Black Innerwear Vests
11107,Topwear,Women,Black,Summer,Casual,Femella Women Animal Print One Shoulder Black Outdoors Brown Top
5935,Shoes,Men,Black,Winter,Casual,John Players Men Sleeveless And Blue Check Shirt
49673,Bags,Women,Maroon,Winter,Casual,FS4310 Art Women Motorsport Maroon Clutch
7615,Bottomwear,Women,Navy Blue,Summer,Casual,Reestyle Connection Shalini Melange Blue Truck
